time_start;time_stop;Ti03AIm;HT03AIm;HH03AIm;Ti03DIm;Fi03AIm;Fi01AOa;Rh03DIa;Fi03DIm;Ti03AOm;HT03AOm;HH03AOm;Col_num
dd/mm/yyyy hh:mm;dd/mm/yyyy hh:mm;K;K;%;K;m?/h;m?/h;kg/m?;l/min;K;K;%;-
13.06.2019 10:22;13.06.2019 10:28;297.96;298.02;48.26;287.44;0;57.63;1296.89;4.75;289.81;290.21;47.9;C_3
13.06.2019 13:15;13.06.2019 13:25;300.3;300.51;55.58;292.2;0;112.08;1296.88;4.75;295.05;294.81;54.06;C_3
18.06.2019 07:05;18.06.2019 07:25;298.27;298.02;46.07;284.16;99.79;0;1296.89;4.75;288.2;287.98;50.83;C_3
18.06.2019 11:55;18.06.2019 12:14;301.65;301.31;50.7;290.94;0;111.93;1296.87;4.75;293.97;293.69;52.19;C_3
18.06.2019 13:45;18.06.2019 13:50;300.49;299.87;42.59;290.34;0;140.72;1296.86;4.75;293.47;292.89;52.75;C_3
20.06.2019 13:10;20.06.2019 13:30;301.17;301.71;43.11;292.12;0;155.77;1296.95;4.75;296.63;297.38;40.59;C_3
20.06.2019 11:50;20.06.2019 12:00;302.13;302.39;49.11;293.32;0;156.09;1296.96;4.75;299.2;300.51;42.09;C_3
04.07.2019 13:15;04.07.2019 13:20;302.35;301.99;44.94;294.3;0;56.26;1324.22;4.75;298.09;296.5;33.44;C_3
09.07.2019 11:40;09.07.2019 11:45;308.67;308.02;28.68;298.14;107.34;0;1324.2;4.75;300.2;299.94;37.7;C_3
30.10.2019 11:42;30.10.2019 11:47;295.23;295.22;65.24;297.52;113.43;0;1296.9;4.75;297.48;296.66;49.51;C_3
30.10.2019 13:10;30.10.2019 13:20;289.98;290.56;73.96;288.03;137.54;0;1253.8;5.01;288.83;289.51;60.06;C_4
30.10.2019 14:15;30.10.2019 14:40;287.42;287.82;74.37;288.08;137.75;0;1253.8;5.01;288.3;288.95;59.86;C_4
30.10.2019 15:45;30.10.2019 16:00;290.81;290.96;74.38;291.22;52.74;0;1253.8;5.01;292.46;292.37;59.74;C_4
31.10.2019 11:10;31.10.2019 11:25;289.65;289.59;89.74;293.08;131.46;0;1253.78;5.01;292.89;292.37;60.66;C_4
31.10.2019 11:45;31.10.2019 11:50;289.66;289.91;88.81;283.27;131.33;0;1253.78;5.01;285.29;286.61;60.61;C_4
31.10.2019 13:10;31.10.2019 13:20;288.21;288.46;84.33;286.75;132.37;0;1253.77;5.01;287.48;288.22;62.12;C_4
31.10.2019 13:35;31.10.2019 13:45;287.57;288.2;84.33;287.15;132.19;0;1253.77;5.01;287.64;288.22;62.12;C_4
01.11.2019 10:30;01.11.2019 10:45;283.56;290.31;52.2;276.01;55.68;0;1253.76;5.01;280.72;285.55;39.03;C_4
01.11.2019 14:10;01.11.2019 14:30;287.69;291.66;47.59;282.41;54.08;0;1253.76;5.01;284.29;287.64;47.07;C_4
05.08.2020 11:01;05.08.2020 11:10;297.95;297.19;42.33;284.42;0;132.58;1301.91;2.3;291.17;292.08;47.65;C_3
05.08.2020 13:15;05.08.2020 13:45;299.27;298.77;35.94;283.13;0;134.75;1295.63;2.3;290.37;289.96;48.01;C_3
05.08.2020 15:30;05.08.2020 16:00;300;299.94;34.56;284.36;0;153.8;1289.34;2.3;291.35;291.08;48.79;C_3
06.08.2020 10:15;06.08.2020 10:30;298.93;298.6;48.10;286.42;0;113.8;1281;2.3;291.74;292.23;52.28;C_3
06.08.2020 12:00;06.08.2020 12:30;300.39;300.03;41.49;285.09;0;116.3;1274;2.3;290.9;290.81;52.64;C_3
05.08.2020 13:50;05.08.2020 14:00;301.78;301.14;38.89;286.07;0;118.35;1268;2.3;291.78;291.11;52.58;C_3
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
