,T_a_in,x_a_in,m_a_in,T_d_in,xi_d_in,x_d_in_equ,m_d_in,T_a_o_exp,T_d_o_exp,x_a_o_exp,Re,Pr,Sc,Nu,Sh
1,298.75,0.0162,1.85,288.05,0.23,0.007228126,2.61,292.35,294.45,0.0091,996.6987537,0.7238218240000001,0.616834876,3.6623640689999997,3.25129132
10,297.15,0.0152,1.94,289.95,0.2961,0.006048815,2.82,293.25,296.25,0.0075,1048.989749,0.722987233,0.61651929,4.363029332,3.33400738
11,297.35,0.016,1.98,290.85,0.3007,0.006254409,2.85,294.05,297.05,0.0077,1070.471776,0.7237931479999999,0.6166028720000001,5.023987834,3.700249284
12,298.25,0.0152,1.94,291.25,0.3052,0.006259191,2.9,294.45,297.25,0.0075,1046.027445,0.7228462520000001,0.616694294,4.487529029,3.472545715
13,298.35,0.0143,1.95,290.95,0.3182,0.005690291,2.85,294.25,297.05,0.0069,1050.6985320000001,0.721899643,0.616653579,4.655537495,3.399286347
14,299.05,0.0159,1.99,292.35,0.3215,0.0061058,2.86,295.75,298.95,0.0077,1071.149531,0.723471799,0.6168631370000001,4.614009483,3.20514347
15,298.75,0.0143,1.93,291.55,0.3312,0.005457791,2.88,294.75,297.65,0.0066,1038.855687,0.72184892,0.616717394,4.864908405,3.4414167389999997
2,301.75,0.0202,1.87,291.35,0.24,0.008620891,2.63,296.05,298.35,0.0116,1001.7618560000001,0.727613738,0.617513502,3.5019611669999997,2.829393238
3,300.65,0.0181,1.92,290.85,0.255,0.007838149,2.65,295.05,297.45,0.0099,1030.361472,0.725559828,0.6172363329999999,4.19051388,3.374699148
4,303.15,0.0177,1.89,292.05,0.26,0.008283544,2.66,296.65,298.95,0.0097,1007.6995900000001,0.7248330540000001,0.617582031,3.433981072,3.93449155
5,300.75,0.0164,1.92,290.45,0.27,0.007133316999999999,2.67,294.75,296.85,0.0087,1029.256643,0.72377762,0.617153987,4.047396555,3.4971288960000004
6,294.85,0.0108,2.04,282.65,0.2513,0.0046106559999999994,2.93,287.25,287.75,0.0057,1107.3705810000001,0.718730525,0.615836661,3.40750018,3.612993557
7,295.85,0.0153,1.97,285.75,0.26,0.005476786,2.76,289.65,291.75,0.0077,1068.8447230000002,0.7232597359999999,0.616316714,4.593168847,3.077390315
8,297.85,0.0153,1.96,288.65,0.27,0.006341164,2.77,292.35,294.75,0.008,1057.9472460000002,0.723001218,0.616637246,4.516467373,3.335800675
9,296.45,0.0143,1.99,287.85,0.285,0.005585838,2.8,291.25,293.45,0.0072,1077.514382,0.7221431970000001,0.61634693,4.897879955,3.24534758
