,T_a_in,x_a_in,m_a_in,T_d_in,xi_d_in,m_d_in,T_a_o_exp,x_a_o_exp,T_d_o_exp,xi_d_o_exp,T_d_o_sim,T_a_o_sim,x_a_o_sim,Nu_iter,Nu_calc,Nu_formula,Sh_iter,Sh_calc,Sh_formula,T_a_o_sim_new,T_devi,x_a_o_sim_new,x_devi,T_d_o_sim_new,xi_d_o_sim_new,xi_d_out,x_d_in_equ,Re,Pr,Sc,epsilon_w,epsilon_T,epsilon_h
1,298.75,0.0162,1.85,288.05,0.23,2.61,292.35,0.0091,294.45,0.2288,20.19,291.89,9.29,3.662364069,2.732683266,3.860095263,3.25129132,2.612602744,3.025951624,292.1643677,-0.185632324,0.009087236,-1.28E-05,293.4035034,0.228851542,0.228848306,0.007228126,996.6987537,0.723821824,0.616834876,0.791361992,0.598130841,0.729567769
10,297.15,0.0152,1.94,289.95,0.2961,2.82,293.25,0.0075,296.25,0.2945,22.09,292.94,7.62,4.363029332,4.059226895,4.838657379,3.33400738,2.793803247,3.252444267,293.2085266,-0.041473389,0.007489965,-1.00E-05,295.2605896,0.294549972,0.294539775,0.006048815,1048.989749,0.722987233,0.61651929,0.841421112,0.541666667,0.769997248
11,297.35,0.016,1.98,290.85,0.3007,2.85,294.05,0.0077,297.05,0.299,23.22,293.8,7.88,5.023987834,5.283330312,5.198951721,3.700249284,2.896732813,3.377879143,293.9774475,-0.07255249,0.007576394,-0.000123606,297.7835999,0.298634917,0.29897601,0.006254409,1070.471776,0.723793148,0.616602872,0.851667179,0.507692308,0.779475869
12,298.25,0.0152,1.94,291.25,0.3052,2.9,294.45,0.0075,297.25,0.3036,23.27,294.2,7.61,4.487529029,3.8503357,4.696949482,3.472545715,2.84484812,3.32723856,294.3852234,-0.064776611,0.007442524,-5.75E-05,296.4832153,0.303636879,0.303635961,0.006259191,1046.027445,0.722846252,0.616694294,0.86121959,0.542857143,0.785600536
13,298.35,0.0143,1.95,290.95,0.3182,2.85,294.25,0.0069,297.05,0.3166,23.08,293.94,7.02,4.655537495,3.673947035,4.911286831,3.399286347,2.800744065,3.229477882,294.1431885,-0.106811523,0.006829969,-7.00E-05,296.3029785,0.316594779,0.316597019,0.005690291,1050.698532,0.721899643,0.616653579,0.85949477,0.554054054,0.781746134
14,299.05,0.0159,1.99,292.35,0.3215,2.86,295.75,0.0077,298.95,0.3196,24.97,295.39,7.68,4.614009483,6.918380188,5.334135532,3.20514347,2.731561768,3.316991329,295.6738586,-0.076141357,0.007701001,1.00E-06,298.0491943,0.319691837,0.319676058,0.0061058,1071.149531,0.723471799,0.616863137,0.837230192,0.492537313,0.76353801
15,298.75,0.0143,1.93,291.55,0.3312,2.88,294.75,0.0066,297.65,0.3295,23.72,294.53,6.84,4.864908405,3.867034127,4.848939896,3.441416739,2.808765317,3.122384071,294.6732483,-0.076751709,0.006511005,-8.90E-05,297.0320435,0.329495221,0.329499758,0.005457791,1038.855687,0.72184892,0.616717394,0.870823089,0.555555556,0.793775073
2,301.75,0.0202,1.87,291.35,0.24,2.63,296.05,0.0116,298.35,0.2385,24.45,295.41,11.41,3.501961167,2.626881434,4.144481659,2.829393238,2.317400793,3.002312899,295.8945923,-0.155407715,0.011582665,-1.73E-05,297.4426575,0.238545284,0.23854136,0.008620891,1001.761856,0.727613738,0.617513502,0.742716902,0.548076923,0.691984729
3,300.65,0.0181,1.92,290.85,0.255,2.65,295.05,0.0099,297.45,0.2535,23.69,294.59,10.08,4.19051388,2.890902123,4.475979805,3.374699148,2.667934892,3.173206568,294.8835449,-0.166455078,0.009890225,-9.78E-06,296.9035645,0.253501445,0.253493959,0.007838149,1030.361472,0.725559828,0.617236333,0.799076098,0.571428571,0.736697377
4,303.15,0.0177,1.89,292.05,0.26,2.66,296.65,0.0097,298.95,0.2585,24.74,296.1,10.22,3.433981072,2.745419079,4.033062458,3.93449155,3.042067849,3.153344631,296.6961365,0.046136475,0.009684027,-1.60E-05,298.0781555,0.258536339,0.258530458,0.008283544,1007.69959,0.724833054,0.617582031,0.849576572,0.585585586,0.765478703
5,300.75,0.0164,1.92,290.45,0.27,2.67,294.75,0.0087,296.85,0.2685,23.1,294.19,9.03,4.047396555,2.773356457,4.427442074,3.497128896,2.812616262,3.136923313,294.5522461,-0.197753906,0.008724079,2.41E-05,296.3587341,0.268527389,0.268513221,0.007133317,1029.256643,0.72377762,0.617153987,0.830933783,0.582524272,0.755021147
6,294.85,0.0108,2.04,282.65,0.2513,2.93,287.25,0.0057,287.75,0.2504,14.13,286.42,5.81,3.40750018,2.682905153,4.267144203,3.612993557,2.920550865,3.485068798,287.2313538,-0.01864624,0.005682793,-0.000017207,287.1697998,0.250411808,0.250410828,0.004610656,1107.370581,0.718730525,0.615836661,0.823996923,0.62295082,0.735983964
7,295.85,0.0153,1.97,285.75,0.26,2.76,289.65,0.0077,291.75,0.2586,18.38,289.32,7.75,4.593168847,3.048283905,4.841564655,3.077390315,2.505988104,3.083878279,289.5666504,-0.083349609,0.00773691,3.69E-05,291.4919128,0.258614153,0.258597204,0.005476786,1068.844723,0.723259736,0.616316714,0.77367752,0.613861386,0.727826047
8,297.85,0.0153,1.96,288.65,0.27,2.77,292.35,0.008,294.75,0.2686,20.95,292.02,8.07,4.516467373,3.152870417,4.686937809,3.335800675,2.731365316,3.294099569,292.2228088,-0.127191162,0.007994547,-5.45E-06,294.1157227,0.268620491,0.268612524,0.006341164,1057.947246,0.723001218,0.616637246,0.814837963,0.597826087,0.75217111
