,T_a_in,x_a_in,m_a_in,T_d_in,xi_d_in,m_d_in,T_a_o_exp,x_a_o_exp,T_d_o_exp,xi_d_o_exp,T_d_o_sim,T_a_o_sim,x_a_o_sim,hr_air_in,hr_air_out,rho_da,rho_ha,k,m_da,h_a_in,h_a_out,delta_Q_a,cp_d,delta_Q_d,delta_Q_sen,log_m_delta_T,h_c,Nu_2,delta_m_a,log_m_delta_x,h_d,Sh_2,devi_T,T_a_o_sim_reg,humidity ratio,x_a_o_sim_reg,devi_x,T_d_o_sim_reg,xi_d_o_sim_reg
1,298.75,0.0162,1.85,288.05,0.23,2.61,292.35,0.0091,294.45,0.2288,20.19,291.89,9.29,0.779697312,0.653751815,1.152044288,1.170707406,0.026035388,1.85,67015.69352,42385.8955,45565.12633,2.963126081,49496.05805,12196.56125,3.87,7.114646833,2.732683266,0.013135,0.003889118,0.007624404,2.612602744,0.482427979,292.832428,0.009608044,0.009516608,0.508043988,292.9811096,0.228932768
10,297.15,0.0152,1.94,289.95,0.2961,2.82,293.25,0.0075,296.25,0.2945,22.09,292.94,7.62,0.806194287,0.510800396,1.160076565,1.177709729,0.026009599,1.94,62813.46998,39248.17246,45716.67719,2.689965147,47789.9208,7774.994248,1.66245539,10.55788645,4.059226895,0.014938,0.004119757,0.008185547,2.793803247,-0.001403809,293.2485962,0.007966637,0.007903671,0.466636675,294.9873352,0.294643193
11,297.35,0.016,1.98,290.85,0.3007,2.85,294.05,0.0077,297.05,0.299,23.22,293.8,7.88,0.837443531,0.498996778,1.157846209,1.176371748,0.026044809,1.98,65055.24654,40572.03661,48476.75566,2.673384142,47238.69778,6720.809786,1.102604015,13.76033305,5.283330312,0.016434,0.004363754,0.008501782,2.896732813,-0.210125732,293.8398743,0.00826325,0.008195528,0.563249694,296.1608276,0.299103796
12,298.25,0.0152,1.94,291.25,0.3052,2.9,294.45,0.0075,297.25,0.3036,23.27,294.2,7.61,0.754834305,0.474387362,1.15578514,1.173353074,0.026093493,1.94,63952.02562,40472.48941,45550.30024,2.656659105,46225.86843,7575.879775,1.702272812,10.0468709,3.8503357,0.014938,0.004034238,0.008359067,2.84484812,0.083874512,294.5338745,0.007962504,0.007899603,0.462503617,296.1660461,0.303738832
13,298.35,0.0143,1.95,290.95,0.3182,2.85,294.25,0.0069,297.05,0.3166,23.08,293.94,7.02,0.706920986,0.442249741,1.157024431,1.173569881,0.02609114,1.95,61764.5927,38745.19798,44887.81971,2.6070308,45323.23045,8204.678109,1.932246415,9.585746679,3.673947035,0.01443,0.003958811,0.008228647,2.800744065,0.179046631,294.4290466,0.007322476,0.007269247,0.422475886,295.9559326,0.316697985
14,299.05,0.0159,1.99,292.35,0.3215,2.86,295.75,0.0077,298.95,0.3196,24.97,295.39,7.68,0.752118452,0.449740557,1.151424185,1.16973183,0.026168749,1.99,66562.79496,42307.18406,48268.6657,2.597058115,49022.06899,6754.453568,0.842228121,18.10453577,6.918380188,0.016318,0.004576444,0.00804944,2.731561768,-0.58706665,295.1629333,0.008192503,0.008125931,0.492502712,297.8866882,0.319797218
15,298.75,0.0143,1.93,291.55,0.3312,2.88,294.75,0.0066,297.65,0.3295,23.72,294.53,6.84,0.690306636,0.410443906,1.155470702,1.171993933,0.026123951,1.93,62177.93337,38492.85019,45712.21053,2.560215789,44977.87099,7920.367274,1.769927035,10.10222108,3.867034127,0.014861,0.004060441,0.008262315,2.808765317,0.178985596,294.9289856,0.007041152,0.006991921,0.44115218,296.671936,0.32960853
2,301.75,0.0202,1.87,291.35,0.24,2.63,296.05,0.0116,298.35,0.2385,24.45,295.41,11.41,0.810156163,0.661215864,1.133482355,1.156378699,0.026273325,1.87,80333.11355,52526.37674,51998.59784,2.922638288,53805.77089,11047.26936,3.613485784,6.901690881,2.626881434,0.016082,0.005332139,0.00680872,2.317400793,0.425280762,296.4752808,0.012211478,0.012064157,0.61147819,296.9801331,0.238646805
3,300.65,0.0181,1.92,290.85,0.255,2.65,295.05,0.0099,297.45,0.2535,23.69,294.59,10.08,0.776534456,0.601320279,1.141358163,1.162016746,0.026200069,1.92,73830.26118,47180.72406,51167.11127,2.858115539,49988.44078,11104.22784,3.309630063,7.574183493,2.890902123,0.015744,0.004539158,0.007830089,2.667934892,0.533709717,295.5837097,0.010523114,0.010413531,0.623113771,296.3919373,0.253612727
4,303.15,0.0177,1.89,292.05,0.26,2.66,296.65,0.0097,298.95,0.2585,24.74,296.1,10.22,0.657324351,0.534819107,1.132622898,1.152670323,0.026350057,1.89,75410.36592,48311.95068,51216.00481,2.838562715,52098.98006,12681.16364,3.957271223,7.234194824,2.745419079,0.01512,0.003809665,0.008959667,3.042067849,0.556176758,297.2061768,0.010270732,0.010166316,0.570731502,297.6419373,0.258639604
