,T_a_in,x_a_in,m_a_in,T_d_in,xi_d_in,m_d_in,T_a_o_exp,x_a_o_exp,T_d_o_exp,Nu,Sh,T_a_o_sim_new,x_a_o_sim_new,T_d_o_sim_new,xi_d_o_sim_new,xi_d_out,x_d_in_equ,Re,Pr,Sc,epsilon_w,epsilon_T,epsilon_h
1,305.65,0.017,0.27,289.55,0.33,0.62,293.45,0.0063,296.15,3.318598481,4.18439334,293.4295959,0.006128095,296.165802,0.328465611,0.328469438,0.004827546,1217.76059,0.723803277,0.61790759,0.879033907,0.757763975,0.838016298
10,306.95,0.022,0.22,298.35,0.3,0.65,299.45,0.0115,302.95,4.352453393,4.719865102,299.5272827,0.011055896,302.6530151,0.298904687,0.298937622,0.010091582,991.5338011,0.728858715,0.618313807,0.881729233,0.872093023,0.880061776
11,307.55,0.021,0.21,303.65,0.3,0.66,303.85,0.0148,305.85,21.05267551,7.574220583,303.7403564,0.014501999,305.9862976,0.299374431,0.299409347,0.013919871,944.6002124,0.727743089,0.61834963,0.875690287,0.948717949,0.889224776
12,305.95,0.022,0.27,290.65,0.25,0.65,293.55,0.0093,296.95,4.04713965,4.98824575,293.513855,0.009260245,296.7985535,0.248703629,0.248688075,0.007905756,1219.88016,0.728978741,0.618181818,0.90107708,0.810457516,0.874319881
13,305.85,0.0221,0.27,293.05,0.25,0.65,293.85,0.0105,298.05,9.31873605,4.841111007,293.9563904,0.010632942,298.6829834,0.248829082,0.248801161,0.009225234,1220.241206,0.72909539,0.618173112,0.900987217,0.9375,0.91199108
14,306.45,0.0231,0.28,289.55,0.23,0.64,292.65,0.0093,296.15,4.299998679,5.640455793,292.6094971,0.009288162,296.3972778,0.228641227,0.228619709,0.007975833,1264.191924,0.730069281,0.618296928,0.912446934,0.816568047,0.883503749
15,307.05,0.0232,0.24,293.15,0.23,0.67,295.75,0.0114,298.15,3.403869423,4.559525507,295.7131653,0.011359291,297.9027405,0.22904034,0.229031913,0.0100601,1082.052446,0.730101842,0.618378896,0.898028116,0.81294964,0.873314802
16,305.95,0.0221,0.28,296.95,0.23,0.65,297.65,0.014,300.75,12.71036972,5.75649729,297.4544373,0.014007288,300.838501,0.229203239,0.229200267,0.012777789,1265.123374,0.72908331,0.618186375,0.868892553,0.922222222,0.884389443
17,306.25,0.0232,0.28,298.15,0.23,0.65,298.45,0.0149,301.35,22.30837128,8.646822911,298.4197388,0.014654858,302.2424927,0.229155183,0.229180591,0.013763608,1264.875934,0.730198123,0.618275392,0.879573445,0.962962963,0.901522436
18,306.45,0.023,0.28,300.65,0.23,0.67,300.75,0.0167,303.15,24.57699624,9.324988095,300.8314819,0.016940915,303.5158386,0.229405716,0.229396038,0.016040428,1264.129447,0.729964605,0.618292494,0.90522805,0.982758621,0.925083476
19,306.75,0.023,0.24,302.15,0.23,0.67,302.45,0.0178,303.15,19.25583248,9.232741532,302.2522278,0.018397692,304.0763855,0.229603276,0.229572379,0.017564372,1082.741544,0.72992851,0.618331445,0.956651265,0.934782609,0.951160146
2,305.65,0.017,0.27,290.15,0.33,0.62,294.05,0.0065,296.55,3.222741384,4.154526397,294.0274353,0.006334357,296.5762024,0.328494132,0.328497917,0.005021043,1217.76059,0.723803277,0.61790759,0.876537112,0.748387097,0.833757934
3,305.65,0.023,0.27,292.65,0.33,0.62,296.25,0.0063,299.15,3.091504719,10.65726737,296.2266235,0.006299953,301.1022034,0.327665091,0.327617376,0.005903835,1221.384356,0.730061456,0.618187953,0.976827256,0.723076923,0.918056174
4,306.65,0.0224,0.27,295.45,0.34,0.63,298.55,0.0086,301.65,3.43893084,5.097346386,298.7220459,0.007932864,302.2191467,0.338129699,0.338000966,0.006611795,1218.021278,0.729312804,0.618292045,0.874070252,0.723214286,0.841437952
5,307.05,0.0233,0.27,297.85,0.34,0.63,300.05,0.0093,303.75,4.595031918,4.263900948,300.1045227,0.009528905,304.6932068,0.33803764,0.337972167,0.007682237,1217.369373,0.730206514,0.61838321,0.896415215,0.760869565,0.871061904
8,306.35,0.0201,0.27,290.75,0.3,0.65,293.95,0.0079,297.85,3.857503152,4.263560152,293.9431458,0.007754126,297.2907104,0.298492163,0.298487358,0.006238,1217.530215,0.726946659,0.61814915,0.880103899,0.794871795,0.854508919
9,306.45,0.0207,0.27,293.15,0.3,0.65,295.75,0.009,299.15,4.22054973,4.231337153,295.737793,0.008870344,299.225769,0.298553228,0.298549052,0.007280903,1217.593163,0.727560686,0.61818976,0.871891757,0.804511278,0.853534351
