,T_a_in,x_a_in,m_a_in,T_d_in,xi_d_in,x_d_in_equ,m_d_in,T_a_o_exp,T_d_o_exp,x_a_o_exp,Re,Pr,Sc,Nu,Sh
1,298.75,0.0162,1.85,288.05,0.23,0.006324041999999999,2.61,292.35,294.45,0.0091,987.2817382999999,0.722570539,0.655760467,3.8600952630000003,3.0259516239999997
10,297.15,0.0152,1.94,289.95,0.2961,0.004830211,2.82,293.25,296.25,0.0075,1039.711548,0.72221899,0.659327805,4.838657379,3.252444267
11,297.35,0.016,1.98,290.85,0.3007,0.004960592,2.85,294.05,297.05,0.0077,1060.585449,0.7226586340000001,0.658879578,5.198951721,3.377879143
12,298.25,0.0152,1.94,291.25,0.3052,0.004928962,2.9,294.45,297.25,0.0075,1036.682617,0.722056389,0.656870782,4.696949482,3.32723856
13,298.35,0.0143,1.95,290.95,0.3182,0.004379999,2.85,294.25,297.05,0.0069,1041.7504880000001,0.721512794,0.656648397,4.911286831,3.229477882
14,299.05,0.0159,1.99,292.35,0.3215,0.00468413,2.86,295.75,298.95,0.0077,1061.152954,0.7223515509999999,0.655096173,5.3341355319999995,3.316991329
15,298.75,0.0143,1.93,291.55,0.3312,0.004113312,2.88,294.75,297.65,0.0066,1029.974976,0.721454918,0.655760467,4.848939896,3.1223840710000004
2,301.75,0.0202,1.87,291.35,0.24,0.007463173000000001,2.63,296.05,298.35,0.0116,990.0988769999999,0.724487185,0.649182439,4.144481658999999,3.0023128989999996
3,300.65,0.0181,1.92,290.85,0.255,0.006663196,2.65,295.05,297.45,0.0099,1019.5148929999999,0.723413825,0.65157783,4.475979805,3.1732065680000003
4,303.15,0.0177,1.89,292.05,0.26,0.006998526,2.66,296.65,298.95,0.0097,997.0253296,0.722846568,0.646161079,4.033062458,3.1533446310000004
5,300.75,0.0164,1.92,290.45,0.27,0.0059389840000000005,2.67,294.75,296.85,0.0087,1019.2467039999999,0.7224062090000001,0.65135926,4.427442074,3.136923313
6,294.85,0.0108,2.04,282.65,0.2513,0.003929347,2.93,287.25,287.75,0.0057,1100.0251460000002,0.719975829,0.664529622,4.267144203,3.485068798
7,295.85,0.0153,1.97,285.75,0.26,0.00461607,2.76,289.65,291.75,0.0077,1059.447876,0.722475469,0.662257135,4.841564655,3.083878279
8,297.85,0.0153,1.96,288.65,0.27,0.005274341,2.77,292.35,294.75,0.008,1048.480835,0.72217375,0.657761931,4.686937809,3.2940995689999997
9,296.45,0.0143,1.99,287.85,0.285,0.004535163,2.8,291.25,293.45,0.0072,1068.494873,0.7217954990000001,0.660901666,5.047060013,3.308678627
