,T_a_in,RH_a_in,x_a_in,m_a_in,T_d_in,xi_d_in,m_d_in,T_a_o_exp,RH_a_o_exp,x_a_o_exp,T_d_o_exp,epsilon_T,epsilon_w,epsilon_h,x_d_in_equ,RH_d_in_equ,Nu,Sh,T_a_o_sim_new,x_a_o_sim_new,T_d_o_sim_new,xi_d_o_sim_new,xi_d_out,Re,Pr,Sc
0,295.2999877929688,53.1099967956543,0.008863719473197064,0.01657990089157875,307.05858001708987,0.3183011507556093,0.10267125,301.22998046875,55.30999755859375,0.01323476498703181,,0.5043114484076305,0.6759414492505077,0.6020523448873661,0.015330323228124974,45.8013151291228,3.2295278294420195,4.5831237327386445,301.39898681640625,0.013324554461134471,306.0168151855469,0.3185285925865173,0.3185259854235652,589.0538552655859,0.7166796372830422,0.6157770655545375
1,295.2999877929688,57.22000122070313,0.009560196771193291,0.015696175240402118,307.8877470596977,0.3183011507556093,0.10267125,301.22998046875,54.97521458501401,0.01315296284124776,,0.4710919989910318,0.5501802333253146,0.5142313845317148,0.016090358802532775,45.85058538202193,2.7608024738349237,3.0206857416069277,301.4513244628906,0.013288637805549891,307.00274658203125,0.3184809684753418,0.3184760752964094,557.8403645391315,0.7173954343307075,0.615826560545424
10,293.0499877929688,58.582856314522886,0.00850930655133835,0.019340395098801432,306.7013048444475,0.3182193190461446,0.10267125,300.3500061035156,53.10500308445522,0.01204740771012656,,0.5347482798193511,0.5434065398595048,0.538062591786633,0.015020271913851229,45.8019710785517,4.0997937258033765,3.7214446802456536,300.4800109863281,0.012131234835383814,305.53497314453125,0.3184347450733185,0.31843154711637056,691.0932729050396,0.7166096378306903,0.6153500464948687
12,296.3399963378906,52.8438474214994,0.00940206906099817,0.01520593796420631,307.8151585505558,0.3183604470095744,0.10267125,301.7900085449219,53.099998474121094,0.01312421775394383,,0.47493988372696433,0.562705319377209,0.52529591675322,0.016016807832377227,45.83041538760725,2.7170450096837313,3.012633876663275,302.0093994140625,0.013268757985697946,306.966064453125,0.3185411691665649,0.3185360438370338,538.9118997442724,0.7170987957069198,0.6159962843751408
13,296.260009765625,54.88999938964844,0.009723946148347741,0.01489111437467675,302.6284942626953,0.3183554160105559,0.10267125,300.3500061035156,50.80999755859375,0.011517121205044391,,0.6422244318522157,0.8696528594728666,0.7431281035488111,0.011785889643575905,45.52361663262641,5.090629531025399,7.625197228151808,300.7841796875,0.011577937992761266,302.1264343261719,0.3184402287006378,0.31843823429808005,527.9451113227321,0.717440067359741,0.6160046231361535
14,296.7799987792969,53.28455488416883,0.00974088070142215,0.01502871715681607,310.1429775661892,0.3183895094201786,0.10267125,302.5899963378906,48.65844531589086,0.01258540578976762,,0.43478311619358034,0.33145515841233614,0.36991429741212656,0.018322811065609845,45.960998700245106,2.3662708911107617,1.4976292073284885,302.8861999511719,0.01290831699347663,309.3753662109375,0.3185357749462128,0.318522133519069,532.1075187710147,0.7173908529533642,0.6160952967607345
15,292.3699951171875,53.64999771118164,0.007457750457999386,0.02180633647087353,300.34649047851565,0.3182074697458466,0.10267125,296.4199829101562,46.5,0.008298932439666356,,0.5077402555267504,0.29860537313131114,0.40926941590617905,0.010274786108918707,45.427637306336976,4.767866395093798,2.4184995798910958,296.8072814941406,0.008552869608135505,299.7673645019531,0.31828096508979803,0.31826433039171975,780.2321819895857,0.7156213507793552,0.6151453017309796
16,293.7699890136719,52.66999816894531,0.00799220764621212,0.01972776767002038,301.2339466236256,0.3182384588630596,0.10267125,297.2200012207031,45.849998474121094,0.00859094961557988,,0.4622229100591887,0.2100831835482956,0.3388063353125955,0.010842230952480781,45.472061504545174,3.895638096324189,1.7795491841821756,297.6954040527344,0.008956504852960349,300.77154541015625,0.31829696893692017,0.3182750749074309,703.4264531478707,0.7159845455013465,0.6154409381637997
17,295.8599853515625,52.258711538007184,0.009026119278238695,0.01602425420993279,309.9530629804057,0.3183314271215824,0.10267125,303.22998046875,43.90999984741211,0.011768065228413541,,0.5229514312831072,0.30118171138355226,0.38487807129969015,0.01813007827222622,45.96523833177782,3.273694926141573,1.4246966999072421,303.46258544921875,0.012069527405165422,309.0620422363281,0.31848135590553284,0.31846771375897853,568.5235344443583,0.7167741505326835,0.6158867111292494
18,296.8999938964844,52.15827560424805,0.009602043469952144,0.01467971139447825,310.5198259024784,0.318397840696978,0.10267125,303.6851633006129,42.71068987353095,0.01174878725577878,,0.49818304668827057,0.2353719671610201,0.33272762452278,0.018722686899668772,45.98117468236329,2.8022855549952723,1.048797626502504,303.9813537597656,0.012195296105662277,309.79150390625,0.3185148239135742,0.318495598699134,519.5540929144582,0.7172327218931673,0.6161065056087219
19,297.2999877929688,52.28000259399414,0.009862755940487944,0.01465401526388495,311.4339693509615,0.318426859004791,0.10267125,303.6300048828125,39.84000015258789,0.01091013120267034,,0.44785802669058283,0.1062043985204447,0.23005977991729173,0.019724638092014593,46.02777080507156,2.4005058933945027,0.5768807796450137,303.98028564453125,0.011556549021089466,310.846923828125,0.31850311160087585,0.3184744675293473,518.1710359363083,0.7174498903196479,0.6161924911419995
22,296.8999938964844,41.32999801635742,0.007584310001249071,0.01336281002217038,313.1554482199929,0.3183978406969784,0.10267125,303.7900085449219,37.68000030517578,0.01040517429854554,,0.4238586330049981,0.19906102252236696,0.26841874551917305,0.02175516204225831,46.137921650098114,1.8235866887624816,0.5520912273199994,303.6796875,0.010113991161795113,312.51715087890625,0.31850191950798035,0.3185147800612505,472.4884740154314,0.7151616633460269,0.6159693283294879
4,295.8055944824219,52.922000427246104,0.009111791430812005,0.0170797957684699,301.5614587402344,0.3183283168045292,0.10267125,298.5499877929688,48.29999923706055,0.009817703168828606,,0.4767995191724532,0.36356437771498623,0.4246856604235572,0.011053433080231233,45.467480800519155,3.6748344254880965,2.4761472456389297,299.01025390625,0.010066358944224715,301.2087097167969,0.3183784186840057,0.31836570293377126,606.083765257208,0.7168691786562394,0.6158832100665583
5,295.8599853515625,52.709999084472656,0.009105206742683872,0.01666971653518524,301.1175975799561,0.3183314271215815,0.10267125,298.5328044891357,47.54999923706055,0.009652864736772687,,0.5083712950792925,0.3309480347884526,0.43007752493480444,0.010760022413182978,45.44028429865165,3.90844660675896,2.2661232736981898,298.94354248046875,0.00988927411623463,300.8065185546875,0.31837159395217896,0.3183597349745494,591.4460688324535,0.7168554051124754,0.615892244148078
6,297.7799987792969,53.86000061035156,0.01046729857873503,0.01329860885499727,310.0480194091797,0.3184641963766842,0.10267125,304.1099853515625,46.349998474121094,0.01309069447927155,,0.5159745620941372,0.3386076459830319,0.40643722087535483,0.018214896518883084,45.93538615565818,2.7147468796732843,1.4098347482112863,304.43505859375,0.013492970868927305,309.3576965332031,0.3185877501964569,0.31857244675172347,469.7953666404658,0.7180112070729614,0.6163138483982051
