,T_a_in,RH_a_in,m_a_in,T_d_in,xi_d_in,m_d_in,T_a_o_exp,RH_a_o_exp,T_d_o_exp,x_a_in,x_a_o_exp,Nu,Sh,T_a_o_sim_new,x_a_o_sim_new,T_d_o_sim_new,xi_d_o_sim_new,xi_d_out,x_d_in_equ,Re,Pr,Sc,epsilon_w,epsilon_T,epsilon_h
0,298.02,0.4804623039750575,0.01884771701880699,287.44,0.3183024030278953,0.1026704583333333,290.21,0.4769473415304029,288.66260221146166,0.009457171971508029,0.00577267773482495,7.956038884289024,6.980222321436527,289.9062805175781,0.005586696379014926,288.68798828125,0.3180785179138184,0.31808725498410007,0.004514759475327911,665.0903715197827,0.7169414045426978,0.6162884264872308,0.7454849710603361,0.738185255198489,0.742919723453906
1,300.51,0.5533034800302905,0.03628263762959907,292.2,0.3181864659218954,0.1026696666666667,294.81,0.5382421552433181,294.3598247013734,0.012683234700939659,0.008716095312794856,16.826761556112565,6.6378257254538156,294.3230895996094,0.009137477441658343,294.6462097167969,0.31764915585517883,0.3177410072404622,0.00616975059429147,1274.153029680901,0.7199549381887869,0.6168999252110197,0.6090656433928532,0.6859205776173269,0.6360755642902676
14,289.91,0.8842979771913365,0.04412327207308642,283.27,0.2768325089297027,0.10469063,286.61,0.6035305241405006,285.6329476119575,0.0105816062265688,0.00579577386356011,8.326447422840667,19.24561183916565,286.9283447265625,0.0055133938927329675,285.3518371582031,0.27632609009742737,0.27627524702378425,0.004275704511964034,1591.385499477903,0.7191621225078327,0.6149454670107908,0.7589449660981039,0.4969879518072274,0.6816113450216573
17,290.31,0.5197623291384024,0.018728295065587017,276.01,0.2779342729331796,0.10468896,285.55,0.3886500188939904,276.7968808395202,0.0063365587606111174,0.003469110466005434,2.0581168741191216,6.5637982202062215,285.39129638671875,0.003439443964004597,276.7943725585937,0.2777912020683289,0.27779177376343683,0.0025515916097526756,673.4437789801071,0.7147497957858633,0.6146707046783862,0.7575886871185494,0.332867132867132,0.5025553423111934
18,291.66,0.4738503401693036,0.018106440368075218,282.41,0.2768955483958971,0.10468896,287.64,0.46869880207699605,282.9019386150428,0.006289244881936423,0.004804708075918613,2.786581008966041,4.804432977404819,287.54443359375,0.004780560061209929,282.898681640625,0.2768237590789795,0.27682447163264184,0.0040292671497592384,648.7227211649416,0.7145205614618486,0.6149213649370348,0.6568811651907996,0.43459459459459876,0.5192923181976321
19,297.19,0.42143296125018603,0.04352185290633925,284.42,0.32333522178388396,0.04990655,292.08,0.4744445863698613,287.3915651581813,0.007873232558685418,0.006466655004343842,6.9061841512223205,4.461919007142336,291.88983154296875,0.006375678642539236,287.4774169921875,0.32291680574417114,0.3229390950664443,0.003572344217995625,1537.918140091163,0.7154207540394367,0.6160398541860984,0.3270434949529482,0.40015661707126243,0.36782652804694926
2,298.02,0.4586593109020077,0.0326444338042316,284.16,0.3185718102858025,0.1026704583333334,287.98,0.5061368230525142,286.56852034584097,0.009021787833346322,0.005307947398485102,13.110603900757127,9.602129581610773,287.8326416015625,0.005217695786531407,286.5627136230469,0.31819039583206177,0.31819607524530225,0.0036135578940508736,1151.7013299802402,0.716493990775351,0.6162599371560362,0.6867016522128563,0.724386724386724,0.7068836363266934
20,298.77,0.3578016103968211,0.04401423529739908,283.13,0.3174859375692891,0.04966581666666667,289.96,0.4780443204959575,287.6166379511366,0.007339638126907405,0.005694187729125308,12.030823343081193,6.461658972228969,289.79290771484375,0.005642557955010797,287.6298828125,0.31701263785362244,0.3170236501902733,0.0033897103575257913,1548.5560243072844,0.7146740820200937,0.616279735848421,0.4165773385875618,0.5632992327365736,0.5077899311328001
21,299.94,0.3440528321291807,0.05003396701311252,284.36,0.3113150427565831,0.049424699999999995,291.08,0.48580299495846896,289.16838603626314,0.007565574332155169,0.006216464756550634,14.141640436613471,6.314232564078652,290.9259338378906,0.006182778103470599,289.1572265625,0.3108831346035004,0.31089044714781844,0.0038249548528580942,1755.236469779964,0.7147591239135119,0.616495538465625,0.3606647463264708,0.5686777920410797,0.4919423755992869
22,298.6,0.4788627861921123,0.03713896023325835,286.42,0.3031241969009019,0.049105,292.23,0.5205436029749121,290.14726807564364,0.009761724613612216,0.007169758011212175,9.18674294760878,7.0673189424016325,292.0654602050781,0.007078885246378623,290.1467590332031,0.30251631140708923,0.3025311302595493,0.004607266847446605,1308.7741925997777,0.7171813861393759,0.6164064283083509,0.5028592181730491,0.5229885057471265,0.5138344899241233
23,300.03,0.4130416225743455,0.037787535933553114,285.09,0.2964439801927283,0.04883666666666666,290.81,0.5241396400999973,289.6798915086671,0.009153851442437477,0.006597864416134693,12.36791807610831,8.196040013995853,290.6478271484375,0.0065359392144629155,289.6369323730469,0.29585012793540955,0.2958588590613229,0.004371231094867495,1326.34585828897,0.7163775922871556,0.6166087756056886,0.5344323489112959,0.6171352074966514,0.5816908693818333
24,301.14,0.3871465002273995,0.03831181833736812,286.07,0.2905512351536984,0.04860666666666666,291.11,0.5235398624193757,290.85839090172385,0.009156141439782156,0.0067173725058932605,14.656962812990074,9.603371172940232,290.97265625,0.006677735924640154,290.78125,0.2899898886680603,0.2899937975155677,0.004819454816195828,1340.9314875256214,0.7162425813141441,0.6167939673549306,0.5623576581773152,0.6655607166556057,0.6236245507515239
3,301.31,0.504711612975947,0.036150006626517565,290.94,0.3181742036675834,0.102668875,293.69,0.5196345239881333,293.46146253613614,0.01211188585842418,0.007844343819943563,18.38897627317252,7.958451192713957,293.2168273925781,0.008226340744385613,293.6817932128906,0.3176245391368866,0.3176968280154668,0.005687479325059358,1266.5575073575342,0.7192658821526389,0.6169942078050927,0.6642702351287016,0.7348119575699134,0.6930280801819557
4,299.87,0.4239941196392581,0.04574208561297773,290.34,0.3181710115000457,0.1026680833333333,292.89,0.5252175489613693,292.3285094652766,0.009310861527740048,0.007541970144532506,21.441989287247807,5.551355230821406,292.61773681640625,0.007764303290539611,292.5914001464844,0.3178350925445557,0.3179204581868605,0.005469785450860423,1606.3343401550935,0.7165588416531692,0.6165916135347294,0.4605197470195738,0.7324239244491078,0.5971429893878375
5,301.71,0.4291493433778113,0.05028960846327648,292.12,0.3182521514521798,0.1026752083333334,297.38,0.4041079869395921,294.330572566761,0.01051434372466975,0.007633259530335871,8.996597303489525,14.477747908798655,297.2921142578125,0.0075943279468566344,294.2990417480469,0.317802369594574,0.31780368749618987,0.006135628170848317,1758.7801328476987,0.717569605914577,0.6169665435811936,0.657974732297802,0.45151199165797656,0.5623205176711896
8,308.02,0.2854427459334784,0.03395472462661615,298.14,0.344078105710258,0.10483250000000001,299.94,0.3753122619001769,299.7684204742259,0.009994336655216502,0.008262087159374218,20.02466057333365,16.377284475106187,299.643310546875,0.008138641524756563,299.82281494140625,0.3438734710216522,0.34388516309890405,0.007611268855382431,1168.4979341645765,0.7162820324830165,0.6179346736010993,0.7268989560275613,0.817813765182185,0.7841361400330323
