,T_a_in,x_a_in,m_a_in,T_d_in,xi_d_in,m_d_in,T_a_o_exp,x_a_o_exp,T_d_o_exp,xi_d_o_exp,T_d_o_sim,T_a_o_sim,x_a_o_sim,Re_read,x_eq_read,Pr_read,Sc_read,Nu_read,Sh_read,T_a_o_sim_reg,x_a_o_sim_reg,T_d_o_sim_reg,xi_d_o_sim_reg,xi_d_out_cal,x_d_in_equ_cal,Re_cal,Pr_cal,Sc_cal
1,298.75,0.0162,1.85,288.0499999999999,0.23,2.61,292.35,0.0091,294.45,0.2288,20.19,291.89,9.29,987.28173828125,0.006324042100459336,0.722570538520813,0.6557604670524597,3.1587464809417725,3.1070668697357178,292.4060363769531,0.009351464290612295,293.2110290527344,0.2288927584886551,0.22884830555804409,0.006410545253456925,996.69875371047,0.7238218235889429,0.6658176195534333
10,297.15,0.0152,1.94,289.95,0.2961,2.82,293.25,0.0075,296.25,0.2945,22.09,292.94,7.62,1039.7115478515623,0.004830211400985718,0.7222189903259277,0.6593278050422668,4.275768280029297,3.217108726501465,293.126220703125,0.007749131184614512,295.1360168457031,0.2946006655693054,0.29453977476756105,0.005028263007436718,1048.9897493001647,0.7229872328347079,0.6658646849557224
11,297.35,0.016,1.98,290.85,0.3007,2.85,294.0499999999999,0.0077,297.0499999999999,0.299,23.22,293.7999999999999,7.88,1060.58544921875,0.004960592370480299,0.7226586341857909,0.6588795781135559,4.830231666564941,3.3117544651031494,293.8904113769531,0.008048954422795355,296.26934814453125,0.2990608811378479,0.29897600991336276,0.005171880339263771,1070.471776385238,0.72379314804805,0.6659063669463235
12,298.25,0.0152,1.94,291.25,0.3052,2.9,294.45,0.0075,297.25,0.3036,23.27,294.2,7.61,1036.6826171875,0.004928961861878634,0.7220563888549805,0.6568707823753357,4.152874946594238,3.4070417881011963,294.392333984375,0.007643856582672195,296.371826171875,0.3036763668060303,0.30363596069624815,0.005146258422439551,1046.0274448579812,0.7228462520580964,0.6657868331458047
13,298.35,0.0143,1.95,290.95,0.3182,2.85,294.25,0.006900000000000001,297.0499999999999,0.3166,23.08,293.94,7.02,1041.75048828125,0.0043799988925457,0.7215127944946289,0.6566483974456787,4.309893131256104,3.1690797805786133,294.1335144042969,0.007160845904765218,296.11700439453125,0.3166641294956207,0.3165970193022695,0.004590220572915571,1050.6985321506952,0.7218996430722675,0.665718669253723
14,299.0499999999999,0.0159,1.99,292.35,0.3215,2.86,295.75,0.0077,298.95,0.3196,24.97,295.39,7.68,1061.1529541015623,0.004684129729866982,0.7223515510559082,0.655096173286438,4.922001361846924,3.194037675857544,295.4884033203125,0.007891823011450064,297.98297119140625,0.31973275542259216,0.319676058071465,0.004911661997337305,1071.1495314579731,0.7234717988641192,0.6657756322456546
15,298.75,0.0143,1.93,291.5499999999999,0.3312,2.88,294.75,0.0066,297.65,0.3295,23.72,294.53,6.84,1029.9749755859377,0.004113312344998121,0.721454918384552,0.6557604670524597,4.092091083526611,3.050217628479004,294.77874755859375,0.006981647258716871,296.740478515625,0.32959580421447754,0.3294997583649094,0.004321746233787817,1038.8556865163162,0.7218489204375548,0.6656908080982797
2,301.75,0.0202,1.87,291.35,0.24,2.63,296.0499999999999,0.0116,298.35,0.2385,24.45,295.41,11.41,990.098876953125,0.0074631734751164905,0.7244871854782104,0.6491824388504028,3.4815154075622563,3.0244929790496826,295.8106384277344,0.011588247415323577,297.45880126953125,0.2385461926460266,0.2385413603962387,0.007596680040775046,1001.7618557721077,0.7276137375146309,0.6658279349002384
3,300.65,0.0181,1.92,290.85,0.255,2.65,295.0499999999999,0.0099,297.45,0.2535,23.69,294.59,10.08,1019.514892578125,0.0066631962545216075,0.7234138250350952,0.6515778303146362,3.994406700134277,3.1609437465667725,294.8349304199219,0.010251594524257626,296.7166748046875,0.2535649836063385,0.25349395890978277,0.006824430751726779,1030.3614718331678,0.7255598282098497,0.6657928665029965
4,303.15,0.0177,1.89,292.0499999999999,0.26,2.66,296.65,0.0097,298.95,0.2585,24.74,296.1,10.22,997.0253295898438,0.0069985263980925074,0.7228465676307678,0.6461610794067383,3.5058104991912837,3.2917168140411377,296.474609375,0.01027006507948662,297.81170654296875,0.25863948464393616,0.2585304584467239,0.007183031697496484,1007.6995895621764,0.7248330537522869,0.6655674299372889
